"fl_id,""eta"",""etd"",""landing"",""airborne"",""checkin_open"",""seat_f"",""seat_j"",""seat_y"",""book_load_f"",""book_load_j"",""book_load_y"",""final_f"",""final_j"",""final_y"",""final_a"",""final_c"",""final_i"",""bag_pcs"",""bag_kg"",""counter_no"",""counter_island"",""controller_id"",""supervisor_id"",""checkin_total_staff_deploy"",""checkin_closed"",""boardingstart"",""gate_f"",""gate_j"",""gate_y"",""gate_a"",""gate_c"",""gate_i"",""gate_staff_deploy"",""gate_no"",""boarding_finish"",""chock_on"",""chock_off"",""pax_door_open"",""pax_door_close"",""cargo_door_open"",""cargo_door_close"",""unloading_start"",""unloading_finish"",""loading_start"",""loading_finish"""
"1,""2025-09-28 04:30:00.000"",""2025-09-29 23:55:00.000"",""2025-09-28 04:57:00.000"",""2025-09-29 00:14:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-28 05:03:00.000"",""2025-09-29 23:55:00.000"",""2025-09-28 05:06:00.000"",""2025-09-29 23:52:00.000"",""2025-09-28 05:04:00.000"",""2025-09-29 23:50:00.000"",""2025-09-28 05:06:00.000"",""2025-09-28 05:20:00.000"",""2025-09-29 23:04:00.000"",""2025-09-29 23:48:00.000"""
"2,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"3,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"4,"""","""","""","""",""2025-09-29 20:35:00.000"","""",""8"",""174"","""",""8"",""174"","""",""8"",""165"",""152"",""20"",""4"",""166"",""2890"",""4"",""D21-24"",""2404136"",""2012786"",""4"",""2025-09-29 22:35:00.000"",""2025-09-29 23:04:00.000"","""",""8"",""164"",""152"",""20"",""4"",""3"","""",""2025-09-29 23:28:00.000"","""","""","""","""",""2025-09-29 22:35:00.000"",""2025-09-29 23:35:00.000"",""2025-09-29 22:36:00.000"",""2025-09-29 22:56:00.000"",""2025-09-29 23:03:00.000"",""2025-09-29 23:33:00.000"""
"5,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"6,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"7,""2025-09-29 22:10:00.000"",""2025-09-29 23:30:00.000"",""2025-09-29 22:07:00.000"",""2025-09-29 23:47:00.000"",""2025-09-30 08:30:00.000"",""0"",""18"",""246"",""0"",""14"",""222"",""0"",""17"",""222"",""235"",""1"",""0"",""216"",""3189"",""6"",""D"",""20,311,501,705,504"",""2304445"",""15"",""2025-09-29 10:30:00.000"",""2025-09-29 22:47:00.000"",""0"",""14"",""222"",""235"",""1"",""0"",""5"",""8"",""2025-09-29 23:09:00.000"",""2025-09-29 22:19:00.000"",""2025-09-29 23:29:00.000"",""2025-09-29 22:22:00.000"",""2025-09-29 23:16:00.000"",""2025-09-29 22:24:00.000"",""2025-09-29 23:13:00.000"",""2025-09-29 22:25:00.000"",""2025-09-29 22:42:00.000"",""2025-09-29 22:43:00.000"",""2025-09-29 23:03:00.000"""
"8,"""","""","""","""",""2025-09-29 20:20:00.000"","""",""8"",""174"","""",""8"",""174"","""",""8"",""172"",""153"",""26"",""0"",""162"",""2715"",""4"",""D17-D20"",""2404176"",""1912585"",""4"",""2025-09-29 22:20:00.000"",""2025-09-29 23:04:00.000"","""",""8"",""171"",""153"",""26"",""0"",""3"",""3"",""2025-09-29 23:35:00.000"","""","""","""","""",""2025-09-29 22:35:00.000"",""2025-09-29 22:34:00.000"",""2025-09-29 22:36:00.000"",""2025-09-29 22:56:00.000"",""2025-09-29 22:57:00.000"",""2025-09-29 22:30:00.000"""
"9,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"10,"""","""","""","""",""2025-09-29 20:05:00.000"","""",""8"",""174"","""",""8"",""171"","""",""8"",""173"",""154"",""27"",""0"",""131"",""2187"",""4"",""D13-D16"",""2211398"",""1911217"",""4"",""2025-09-29 22:05:00.000"",""2025-09-29 23:37:00.000"","""",""8"",""173"",""154"",""27"",""0"",""3"",""6B"",""2025-09-29 23:52:00.000"","""","""","""","""",""2025-09-29 23:05:00.000"",""2025-09-29 00:04:00.000"",""2025-09-29 23:06:00.000"",""2025-09-29 23:27:00.000"",""2025-09-29 23:35:00.000"",""2025-09-29 23:55:00.000"""
"11,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
